Rute ID,APR Profil,Week Profil,Transportform (profile > profile),problem_type,Type,Antal enheder (len(R_original)),Number,Significant Outliers,Length Org,Length Opt,Contribution Margin (Org),Contribution Margin (Opt),Revenue (Org),Revenue (Opt),Cost (Org),Cost (Opt),Set of Significant Outliers
37000301,U18 Omdeler,U37,foot,TSP,Type 1,88,"19, 32, 73, 74",4,7609.899999999999,5106.399999999998,282.1871090000001,317.76242400000007,435.07,420.35,152.8599999999999,102.55999999999997,"[19, 32, 73, 74]"
37000301,U18 Omdeler,U37,foot,TSP,Type 2,88,"19, 73",2,7093.8,4942.700000000001,292.555558,324.64115699999996,435.07,423.94000000000005,142.47999999999993,99.26999999999997,"[19, 73]"
37000301,U18 Omdeler,U38,foot,TSP,Type 1,88,"19, 32, 73",3,7609.899999999999,5206.999999999998,357.187109,390.5713700000001,510.07000000000005,495.18,152.8599999999999,104.57999999999998,"[19, 32, 73]"
37000301,U18 Omdeler,U38,foot,TSP,Type 2,88,"19, 73",2,7093.8,4942.700000000001,367.555558,397.5211570000001,510.0700000000001,496.82,142.47999999999993,99.26999999999997,"[19, 73]"
37000301,U18 Omdeler,U39,foot,TSP,Type 1,88,"19, 32, 73, 74",4,7609.899999999999,5106.399999999998,465.68710899999996,495.87242399999997,618.5699999999999,598.46,152.8599999999999,102.55999999999997,"[19, 32, 73, 74]"
37000301,U18 Omdeler,U39,foot,TSP,Type 2,88,"19, 73",2,7093.8,4942.700000000001,476.0555579999999,502.1311569999998,618.57,601.4300000000001,142.47999999999993,99.26999999999997,"[19, 73]"
37000302,O18 Omdeler,Gns. Oms,foot,TSP,Type 1,163,90,1,5710.799999999995,5282.499999999997,770.7957799999999,777.2394999999998,932.9200000000009,927.2000000000008,162.18999999999997,150.01999999999998,[90]
37000302,O18 Omdeler,Gns. Oms,foot,TSP,Type 2,163,137,1,4569.200000000002,4433.300000000001,803.2172199999998,806.5642799999998,932.9200000000009,932.4100000000011,129.73,125.88000000000005,[137]
37000302,O18 Omdeler,U36,foot,TSP,Type 1,163,90,1,5710.799999999995,5282.499999999997,794.5632800000001,800.7269999999999,956.7499999999994,950.7499999999994,162.18999999999997,150.01999999999998,[90]
37000302,O18 Omdeler,U36,foot,TSP,Type 2,163,137,1,4569.200000000002,4433.300000000001,826.9847199999999,830.8442799999998,956.7499999999994,956.7499999999993,129.73,125.88000000000005,[137]
37000302,O18 Omdeler,U37,foot,TSP,Type 1,163,90,1,5710.799999999995,5282.499999999997,603.37328,611.107,765.5599999999993,761.1299999999992,162.18999999999997,150.01999999999998,[90]
37000302,O18 Omdeler,U37,foot,TSP,Type 2,163,137,1,4569.200000000002,4433.300000000001,635.7947199999999,639.6542799999999,765.5599999999994,765.5599999999993,129.73,125.88000000000005,[137]
37000302,O18 Omdeler,U38,foot,TSP,Type 1,163,90,1,5710.799999999995,5282.499999999997,723.6532800000002,730.3370000000001,885.8400000000008,880.3600000000008,162.18999999999997,150.01999999999998,[90]
37000302,O18 Omdeler,U38,foot,TSP,Type 2,163,137,1,4569.200000000002,4433.300000000001,756.0747200000001,759.9342800000001,885.8400000000008,885.8400000000009,129.73,125.88000000000005,[137]
37000302,O18 Omdeler,U39,foot,TSP,Type 1,163,90,1,5710.799999999995,5282.499999999997,961.59328,966.7869999999999,1123.7800000000007,1116.8100000000006,162.18999999999997,150.01999999999998,[90]
37000302,O18 Omdeler,U39,foot,TSP,Type 2,163,137,1,4569.200000000002,4433.300000000001,994.0147199999999,995.8242799999999,1123.7800000000007,1121.730000000001,129.73,125.88000000000005,[137]
37000302,SE Omdeler,Gns. Oms,foot,TSP,Type 1,163,"82, 83, 84, 85, 89, 90, 91, 92",8,5710.799999999995,4602.9,621.1728200000001,643.0016599999999,932.9200000000009,894.260000000001,311.7699999999999,251.26999999999995,"[82, 83, 84, 85, 89, 90, 91, 92]"
37000302,SE Omdeler,Gns. Oms,foot,TSP,Type 2,163,137,1,4569.200000000002,4433.300000000001,683.5041799999997,690.4118199999998,932.9200000000009,932.4100000000011,249.48999999999992,242.05000000000004,[137]
37000302,SE Omdeler,U36,foot,TSP,Type 1,163,"89, 90, 91, 92, 137",5,5710.799999999995,4920.599999999998,644.9403200000003,668.49524,956.7499999999994,937.1599999999994,311.7699999999999,268.6199999999999,"[89, 90, 91, 92, 137]"
37000302,SE Omdeler,U36,foot,TSP,Type 2,163,137,1,4569.200000000002,4433.300000000001,707.2716799999998,714.6918199999998,956.7499999999994,956.7499999999993,249.48999999999992,242.05000000000004,[137]
